db,spec_code,species,length
fb,467,dissostichus eleginoides,148.5
fb,468,notothenia rossii,67.25
fb,472,pleuragramma antarctica,20.75
fb,473,chaenocephalus aceratus,56
fb,474,champsocephalus gunnari,46.5
fb,475,pseudochaenichthys georgianus,53.5
fb,476,chionodraco rastrospinosus,46.5
fb,477,channichthys rhinoceratus,60
fb,478,chaenodraco wilsoni,43
fb,479,zoarces viviparus,34.599998474121094
fb,480,zoarces americanus,31.59999942779541
fb,481,trisopterus minutus,21.95
fb,482,genypterus blacodes,134
fb,483,genypterus chilensis,150
fb,484,genypterus maculatus,100
fb,485,genypterus capensis,142
fb,486,brotula barbata,94
fb,487,ammodytes personatus,15
fb,488,hypoptychus dybowskii,10
fb,489,thyrsites atun,110
fb,490,thyrsitops lepidopoides,39.1
fb,491,pampus argenteus,26.5
fb,492,peprilus triacanthus,21
fb,493,peprilus simillimus,23.25
fb,495,anabas testudineus,16.6
fb,496,hyperoglyphe antarctica,121.5
fb,497,psenopsis anomala,20.8
fb,498,osphronemus goramy,67.25
fb,499,trichopodus pectoralis,20.5
fb,500,helostoma temminckii,30
fb,501,sebastes norvegicus,50
fb,502,sebastes entomelas,36.5
fb,503,sebastes flavidus,45.5
fb,504,sebastes alutus,34.599998474121094
fb,505,sebastes mentella,43.099998474121094
fb,506,sebastes capensis,37
fb,507,chelidonichthys kumu,48
fb,508,pterygotrigla polyommata,46
fb,509,ophiodon elongatus,133
fb,510,pleurogrammus azonus,50
fb,512,anoplopoma fimbria,65
fb,513,psettodes erumei,48.5
fb,514,hippoglossus stenolepis,202
fb,516,reinhardtius hippoglossoides,90
fb,517,atheresthes stomias,64.5
fb,518,atheresthes evermanni,82
fb,519,hippoglossoides elassodon,48
fb,520,limanda aspera,35
fb,521,limanda ferruginea,28.34999942779541
fb,522,paraplagusia bilineata,31.6
fb,524,pseudopleuronectes americanus,32
fb,525,solea solea,31
fb,526,dicologlossa cuneata,25.35
fb,527,austroglossus microlepis,75
fb,528,austroglossus pectoralis,51
fb,529,scophthalmus rhombus,48.2
fb,530,scophthalmus aquosus,22.200000762939453
fb,531,stephanolepis cirrhifer,23
fb,532,lophius americanus,69.5
fb,534,anchoa panamensis,18.7
fb,535,anchoa parva,9.100000381469728
fb,536,anchoa pectoralis,6.800000190734863
fb,537,anchoa scofieldi,6.199999809265137
fb,538,anchoa spinifer,21
fb,539,anchoa starksi,7.699999809265137
fb,540,anchoa tricolor,14.899999618530272
fb,541,anchoa trinitatis,14
fb,542,anchoa walkeri,14.5
fb,543,anchovia clupeoides,16.950000000000003
fb,544,anchovia macrolepidota,20.5
fb,545,anchoa mitchilli,8.7
fb,546,anchovia surinamensis,12.05
fb,547,cetengraulis edentulus,14.900000095367432
fb,548,cetengraulis mysticetus,16
fb,549,jurengraulis juruensis,17.899999809265136
fb,550,pterengraulis atherinoides,21.6
fb,551,lycengraulis batesii,24.7
fb,552,lycengraulis grossidens,18.2
fb,553,lycengraulis poeyi,20.5
fb,554,amazonsprattus scintilla,2
fb,555,encrasicholina devisi,8.349999904632568
fb,556,encrasicholina heteroloba,9.5
fb,557,encrasicholina oligobranchus,6.199999809265137
fb,558,encrasicholina punctifer,11.100000381469728
fb,559,encrasicholina purpurea,6.15
fb,560,stolephorus advenus,7.199999809265137
fb,561,stolephorus andhraensis,5
fb,562,stolephorus apiensis,6
fb,563,stolephorus baganensis,10
fb,564,stolephorus carpentariae,6.049999952316284
fb,565,stolephorus chinensis,8.650000095367432
