sciname,aphia_id,valid_sciname
himantura uarnak,105854,himantura uarnak
himantura undulata,217413,himantura undulata
holohalaelurus favus,390077,holohalaelurus favus
holohalaelurus grennian,390078,holohalaelurus grennian
holohalaelurus melanostigma,310539,holohalaelurus melanostigma
holohalaelurus punctatus,217647,holohalaelurus punctatus
holohalaelurus regani,217648,holohalaelurus regani
hongeo koreanus,712397,hongeo koreanus
hydrolagus affinis,105825,hydrolagus affinis
hydrolagus africanus,217437,hydrolagus africanus
hydrolagus alberti,271402,hydrolagus alberti
hydrolagus alphus,271403,hydrolagus alphus
hydrolagus barbouri,271404,hydrolagus barbouri
hydrolagus bemisi,271405,hydrolagus bemisi
hydrolagus colliei,271406,hydrolagus colliei
hydrolagus deani,271407,hydrolagus deani
hydrolagus eidolon,271408,hydrolagus eidolon
hydrolagus erithacus,1385276,hydrolagus erithacus
hydrolagus homonycteris,398339,hydrolagus homonycteris
hydrolagus lusitanicus,271410,hydrolagus lusitanicus
hydrolagus macrophthalmus,271411,hydrolagus macrophthalmus
hydrolagus marmoratus,398340,hydrolagus marmoratus
hydrolagus matallanasi,271412,hydrolagus matallanasi
hydrolagus mccoskeri,271413,hydrolagus mccoskeri
hydrolagus melanophasma,474893,hydrolagus melanophasma
hydrolagus mirabilis,105826,hydrolagus mirabilis
hydrolagus mitsukurii,271414,hydrolagus mitsukurii
hydrolagus novaezealandiae,271415,hydrolagus novaezealandiae
hydrolagus pallidus,105827,hydrolagus pallidus
hydrolagus purpurescens,271417,hydrolagus purpurescens
hydrolagus trolli,271418,hydrolagus trolli
hypanus americanus,1042856,hypanus americanus
hypanus berthalutzae,1493649,hypanus berthalutzae
hypanus dipterurus,1042857,hypanus dipterurus
hypanus guttatus,1042858,hypanus guttatus
hypanus longus,1042860,hypanus longus
hypanus marianae,1042862,hypanus marianae
hypanus rudis,1042863,hypanus rudis
hypanus sabinus,1042864,hypanus sabinus
hypanus say,1042865,hypanus say
hypnos monopterygius,314648,hypnos monopterygius
hypogaleus hyugaensis,220020,hypogaleus hyugaensis
iago garricki,278052,iago garricki
iago mangalorensis,1525035,iago mangalorensis
iago omanensis,220021,iago omanensis
indobatis ori,1013325,indobatis ori
insentiraja laxipella,712393,insentiraja laxipella
insentiraja subtilispinosa,281181,insentiraja subtilispinosa
irolita waitii,281183,irolita waitii
irolita westraliensis,398304,irolita westraliensis
isistius brasiliensis,215612,isistius brasiliensis
isistius plutodus,277768,isistius plutodus
isogomphodon oxyrhynchus,281186,isogomphodon oxyrhynchus
isurus oxyrinchus,105839,isurus oxyrinchus
isurus paucus,105840,isurus paucus
lamiopsis temminckii,281270,lamiopsis temminckii
