category,sub_category,spp_gp,trait_val,sheet
can the sex ratio be altered by a stressor?,NA,Ophiomastix mixta,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix mixta,na,echinoderms
foraging range,"if one/few, size",Ophiomastix mixta,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix mixta,na,echinoderms
depth (min/max),NA,Ophiomastix mixta,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix occidentalis,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix occidentalis,na,echinoderms
foraging range,"if one/few, size",Ophiomastix occidentalis,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix occidentalis,na,echinoderms
depth (min/max),NA,Ophiomastix occidentalis,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Opiomastix pictum,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Opiomastix pictum,na,echinoderms
foraging range,"if one/few, size",Opiomastix pictum,na,echinoderms
foraging range,sub-population dependence on particular sites,Opiomastix pictum,na,echinoderms
depth (min/max),NA,Opiomastix pictum,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix venosa,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix venosa,na,echinoderms
foraging range,"if one/few, size",Ophiomastix venosa,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix venosa,na,echinoderms
depth (min/max),NA,Ophiomastix venosa,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiomastix wendtii,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiomastix wendtii,na,echinoderms
foraging range,"if one/few, size",Ophiomastix wendtii,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiomastix wendtii,na,echinoderms
depth (min/max),NA,Ophiomastix wendtii,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Gorgonocephalus eucnemis,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Gorgonocephalus eucnemis,na,echinoderms
foraging range,"if one/few, size",Gorgonocephalus eucnemis,na,echinoderms
foraging range,sub-population dependence on particular sites,Gorgonocephalus eucnemis,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Amphipholis squamata,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Amphipholis squamata,na,echinoderms
foraging range,"if one/few, size",Amphipholis squamata,na,echinoderms
foraging range,sub-population dependence on particular sites,Amphipholis squamata,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiopholis aculeata,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiopholis aculeata,na,echinoderms
foraging range,"if one/few, size",Ophiopholis aculeata,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiopholis aculeata,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Ophiura sarsi,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Ophiura sarsi,na,echinoderms
foraging range,"if one/few, size",Ophiura sarsi,na,echinoderms
foraging range,sub-population dependence on particular sites,Ophiura sarsi,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Amphiodia occidentalis,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Amphiodia occidentalis,na,echinoderms
foraging range,"if one/few, size",Amphiodia occidentalis,na,echinoderms
foraging range,sub-population dependence on particular sites,Amphiodia occidentalis,na,echinoderms
depth (min/max),NA,Amphiodia occidentalis,na,echinoderms
lifetime # reproductive opportunities,NA,Acanthaster spp.,na,echinoderms
age to 1st reproduction/generation time,NA,Acanthaster spp.,na,echinoderms
max age,NA,Acanthaster spp.,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Acanthaster spp.,na,echinoderms
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,Acanthaster spp.,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Acanthaster spp.,na,echinoderms
foraging range,"if one/few, size",Acanthaster spp.,na,echinoderms
foraging range,sub-population dependence on particular sites,Acanthaster spp.,na,echinoderms
depth (min/max),NA,Acanthaster spp.,na,echinoderms
lifetime # reproductive opportunities,NA,Asterias rubens,na,echinoderms
age to 1st reproduction/generation time,NA,Asterias rubens,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Asterias rubens,na,echinoderms
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,Asterias rubens,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Asterias rubens,na,echinoderms
foraging range,"if one/few, size",Asterias rubens,na,echinoderms
foraging range,sub-population dependence on particular sites,Asterias rubens,na,echinoderms
depth (min/max),NA,Asterias rubens,na,echinoderms
lifetime # reproductive opportunities,NA,Pisaster ochraceus,na,echinoderms
age to 1st reproduction/generation time,NA,Pisaster ochraceus,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Pisaster ochraceus,na,echinoderms
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,Pisaster ochraceus,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Pisaster ochraceus,na,echinoderms
foraging range,"if one/few, size",Pisaster ochraceus,na,echinoderms
foraging range,sub-population dependence on particular sites,Pisaster ochraceus,na,echinoderms
depth (min/max),NA,Pisaster ochraceus,na,echinoderms
lifetime # reproductive opportunities,NA,Pynopodia helianthoides,na,echinoderms
age to 1st reproduction/generation time,NA,Pynopodia helianthoides,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Pynopodia helianthoides,na,echinoderms
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,Pynopodia helianthoides,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Pynopodia helianthoides,na,echinoderms
foraging range,"if one/few, size",Pynopodia helianthoides,na,echinoderms
foraging range,sub-population dependence on particular sites,Pynopodia helianthoides,na,echinoderms
depth (min/max),NA,Pynopodia helianthoides,na,echinoderms
lifetime # reproductive opportunities,NA,Odonaster validus,na,echinoderms
age to 1st reproduction/generation time,NA,Odonaster validus,na,echinoderms
max age,NA,Odonaster validus,na,echinoderms
can the sex ratio be altered by a stressor?,NA,Odonaster validus,na,echinoderms
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,Odonaster validus,na,echinoderms
foraging range,"number of sites, incl. terrestrial wetlands",Odonaster validus,na,echinoderms
foraging range,"if one/few, size",Odonaster validus,na,echinoderms
foraging range,sub-population dependence on particular sites,Odonaster validus,na,echinoderms
depth (min/max),NA,Odonaster validus,na,echinoderms
post-birth/hatching maternal dependence,NA,Glyphis spp (river sharks) bull sharks and sawfish,na,elasmobranchs
biomineral,NA,Carcharhinids,na,elasmobranchs
biomineral,NA,Tropical stingrays,na,elasmobranchs
biomineral,NA,Pelagic Rays,na,elasmobranchs
biomineral,NA,Skates,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Deepwater Sharks (oviparous),na,elasmobranchs
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Deepwater Sharks (oviparous),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Deepwater Sharks (oviparous),na,elasmobranchs
biomineral,NA,Deepwater Sharks (oviparous),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Deepwater Sharks (viviparous),na,elasmobranchs
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Deepwater Sharks (viviparous),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Deepwater Sharks (viviparous),na,elasmobranchs
biomineral,NA,Deepwater Sharks (viviparous),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Filter Feeders,na,elasmobranchs
biomineral,NA,Filter Feeders,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Wide-Ranging Pelagics,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Wide-Ranging Pelagics,na,elasmobranchs
biomineral,NA,Wide-Ranging Pelagics,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Catsharks (Endemic),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Catsharks (Endemic),na,elasmobranchs
biomineral,NA,Catsharks (Endemic),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Catsharks (Wide Ranging),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Catsharks (Wide Ranging),na,elasmobranchs
biomineral,NA,Catsharks (Wide Ranging),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Hexanchiformes (6 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Hexanchiformes (6 spp.),na,elasmobranchs
biomineral,NA,Hexanchiformes (6 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Echinorhinus brucus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Echinorhinus brucus,na,elasmobranchs
biomineral,NA,Echinorhinus brucus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Echinorhinus cookei,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Echinorhinus cookei,na,elasmobranchs
biomineral,NA,Echinorhinus cookei,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Dogfish (Squalidae - 28+ spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Dogfish (Squalidae - 28+ spp.),na,elasmobranchs
biomineral,NA,Dogfish (Squalidae - 28+ spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Gulper Sharks (Centrophoridae - 17 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Gulper Sharks (Centrophoridae - 17 spp.),na,elasmobranchs
biomineral,NA,Gulper Sharks (Centrophoridae - 17 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Lanternsharks (Etmopteridae - 46 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Lanternsharks (Etmopteridae - 46 spp.),na,elasmobranchs
biomineral,NA,Lanternsharks (Etmopteridae - 46 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Sleeper Sharks (Somniosidae - 16 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Sleeper Sharks (Somniosidae - 16 spp.),na,elasmobranchs
biomineral,NA,Sleeper Sharks (Somniosidae - 16 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Somniosus microcephalus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Somniosus microcephalus,na,elasmobranchs
biomineral,NA,Somniosus microcephalus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Roughsharks (Oxynotidae - 5 spp),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Roughsharks (Oxynotidae - 5 spp),na,elasmobranchs
biomineral,NA,Roughsharks (Oxynotidae - 5 spp),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Kitefin Sharks (Dalatidae - 10 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Kitefin Sharks (Dalatidae - 10 spp.),na,elasmobranchs
biomineral,NA,Kitefin Sharks (Dalatidae - 10 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Sawsharks (Pristiophoridae - 8 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Sawsharks (Pristiophoridae - 8 spp.),na,elasmobranchs
biomineral,NA,Sawsharks (Pristiophoridae - 8 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Angel Sharks (Squatinidae - 20 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Angel Sharks (Squatinidae - 20 spp.),na,elasmobranchs
biomineral,NA,Angel Sharks (Squatinidae - 20 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Bullhead Sharks (Heterodontidae - 9 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Bullhead Sharks (Heterodontidae - 9 spp.),na,elasmobranchs
biomineral,NA,Bullhead Sharks (Heterodontidae - 9 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Mitsukurina owstoni,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Mitsukurina owstoni,na,elasmobranchs
biomineral,NA,Mitsukurina owstoni,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Pseudocarcharias kamoharai,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Pseudocarcharias kamoharai,na,elasmobranchs
biomineral,NA,Pseudocarcharias kamoharai,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Sandtiger Sharks (Odontaspididae - 3 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Sandtiger Sharks (Odontaspididae - 3 spp.),na,elasmobranchs
biomineral,NA,Sandtiger Sharks (Odontaspididae - 3 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Rhincodon typus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Rhincodon typus,na,elasmobranchs
biomineral,NA,Rhincodon typus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Cetorhinus maximus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Cetorhinus maximus,na,elasmobranchs
biomineral,NA,Cetorhinus maximus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Megachasma pelagios,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Megachasma pelagios,na,elasmobranchs
biomineral,NA,Megachasma pelagios,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Alopias vulpinus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Alopias vulpinus,na,elasmobranchs
biomineral,NA,Alopias vulpinus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Alopias pelagicus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Alopias pelagicus,na,elasmobranchs
biomineral,NA,Alopias pelagicus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Alopias superciliosus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Alopias superciliosus,na,elasmobranchs
biomineral,NA,Alopias superciliosus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Carcharodon carcharias,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Carcharodon carcharias,na,elasmobranchs
biomineral,NA,Carcharodon carcharias,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Isurus oxyrinchus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Isurus oxyrinchus,na,elasmobranchs
biomineral,NA,Isurus oxyrinchus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Isurus paucus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Isurus paucus,na,elasmobranchs
biomineral,NA,Isurus paucus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Lamna ditropis,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Lamna ditropis,na,elasmobranchs
biomineral,NA,Lamna ditropis,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Lamna nasus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Lamna nasus,na,elasmobranchs
biomineral,NA,Lamna nasus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Collared Carpetsharks (Parascyllidae - 8 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Collared Carpetsharks (Parascyllidae - 8 spp.),na,elasmobranchs
biomineral,NA,Collared Carpetsharks (Parascyllidae - 8 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Blind Sharks (Brachaeluridae - 2 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Blind Sharks (Brachaeluridae - 2 spp.),na,elasmobranchs
biomineral,NA,Blind Sharks (Brachaeluridae - 2 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Wobbegongs (Orectolobidae - 12 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Wobbegongs (Orectolobidae - 12 spp.),na,elasmobranchs
biomineral,NA,Wobbegongs (Orectolobidae - 12 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Longtailed Carpetsharks (Hemiscyllidae - 15 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Longtailed Carpetsharks (Hemiscyllidae - 15 spp.),na,elasmobranchs
biomineral,NA,Longtailed Carpetsharks (Hemiscyllidae - 15 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Stegostoma fasciatum,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Stegostoma fasciatum,na,elasmobranchs
biomineral,NA,Stegostoma fasciatum,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Nurse Sharks (Ginglystomatidae - Ginglymostoma cirratum and Nebrius ferrugineus),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Nurse Sharks (Ginglystomatidae - Ginglymostoma cirratum and Nebrius ferrugineus),na,elasmobranchs
biomineral,NA,Nurse Sharks (Ginglystomatidae - Ginglymostoma cirratum and Nebrius ferrugineus),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Finback Catsharks (Proscyllidae - 6 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Finback Catsharks (Proscyllidae - 6 spp.),na,elasmobranchs
biomineral,NA,Finback Catsharks (Proscyllidae - 6 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,False Catsharks (Pseudotriakidae - 5+ spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",False Catsharks (Pseudotriakidae - 5+ spp.),na,elasmobranchs
biomineral,NA,False Catsharks (Pseudotriakidae - 5+ spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Leptocharias smithii,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Leptocharias smithii,na,elasmobranchs
biomineral,NA,Leptocharias smithii,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Houndsharks (Triakidae - >46 spp.) - two species-specific examples also (columns BU and BV),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Houndsharks (Triakidae - >46 spp.) - two species-specific examples also (columns BU and BV),na,elasmobranchs
biomineral,NA,Houndsharks (Triakidae - >46 spp.) - two species-specific examples also (columns BU and BV),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Galeorhinus galeus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Galeorhinus galeus,na,elasmobranchs
biomineral,NA,Galeorhinus galeus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Triakis semifasciata,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Triakis semifasciata,na,elasmobranchs
biomineral,NA,Triakis semifasciata,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Weasel Sharks (Hemigaleidae - 8 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Weasel Sharks (Hemigaleidae - 8 spp.),na,elasmobranchs
biomineral,NA,Weasel Sharks (Hemigaleidae - 8 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Requiem Sharks (Carcharhinidae ~50 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Requiem Sharks (Carcharhinidae ~50 spp.),na,elasmobranchs
biomineral,NA,Requiem Sharks (Carcharhinidae ~50 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Galeocerdo cuvier,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Galeocerdo cuvier,na,elasmobranchs
biomineral,NA,Galeocerdo cuvier,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Prionace glauca,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Prionace glauca,na,elasmobranchs
biomineral,NA,Prionace glauca,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Hammerheads (Sphyrnidae - 9 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Hammerheads (Sphyrnidae - 9 spp.),na,elasmobranchs
biomineral,NA,Hammerheads (Sphyrnidae - 9 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Apristurus spp. (35 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Apristurus spp. (35 spp.),na,elasmobranchs
biomineral,NA,Apristurus spp. (35 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,"Asymbolus spp., Atelomycterus spp., and Aulohalaelurus spp. (16 spp.)",na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands","Asymbolus spp., Atelomycterus spp., and Aulohalaelurus spp. (16 spp.)",na,elasmobranchs
biomineral,NA,"Asymbolus spp., Atelomycterus spp., and Aulohalaelurus spp. (16 spp.)",na,elasmobranchs
post-birth/hatching maternal dependence,NA,Bythaelurus spp. (8 spp),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Bythaelurus spp. (8 spp),na,elasmobranchs
biomineral,NA,Bythaelurus spp. (8 spp),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Cephaloscyllium spp. (19 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Cephaloscyllium spp. (19 spp.),na,elasmobranchs
biomineral,NA,Cephaloscyllium spp. (19 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Cephalurus cephalus,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Cephalurus cephalus,na,elasmobranchs
biomineral,NA,Cephalurus cephalus,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Figaro and Galeus spp. (19 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Figaro and Galeus spp. (19 spp.),na,elasmobranchs
biomineral,NA,Figaro and Galeus spp. (19 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Halaelurus spp. (7 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Halaelurus spp. (7 spp.),na,elasmobranchs
biomineral,NA,Halaelurus spp. (7 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Haploblepharus spp. (4 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Haploblepharus spp. (4 spp.),na,elasmobranchs
biomineral,NA,Haploblepharus spp. (4 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Holohalaelurus spp. (5 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Holohalaelurus spp. (5 spp.),na,elasmobranchs
biomineral,NA,Holohalaelurus spp. (5 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Parmaturus and Pentanchus spp. (10 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Parmaturus and Pentanchus spp. (10 spp.),na,elasmobranchs
biomineral,NA,Parmaturus and Pentanchus spp. (10 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Poroderma spp. (2 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Poroderma spp. (2 spp.),na,elasmobranchs
biomineral,NA,Poroderma spp. (2 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Schroederichthys and Scyliorhinus spp. (20 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Schroederichthys and Scyliorhinus spp. (20 spp.),na,elasmobranchs
biomineral,NA,Schroederichthys and Scyliorhinus spp. (20 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Sawfish (Pristidae - 5 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Sawfish (Pristidae - 5 spp.),na,elasmobranchs
biomineral,NA,Sawfish (Pristidae - 5 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Wedgefish (Rhinidae - 10 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Wedgefish (Rhinidae - 10 spp.),na,elasmobranchs
biomineral,NA,Wedgefish (Rhinidae - 10 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Guitarfishes (Rhinobatidae - 31 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Guitarfishes (Rhinobatidae - 31 spp.),na,elasmobranchs
biomineral,NA,Guitarfishes (Rhinobatidae - 31 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Giant Guitarfish (Glaucostegidae - 6 spp),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Giant Guitarfish (Glaucostegidae - 6 spp),na,elasmobranchs
biomineral,NA,Giant Guitarfish (Glaucostegidae - 6 spp),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Banjo Rays (Trygonorrhinidae - 9 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Banjo Rays (Trygonorrhinidae - 9 spp.),na,elasmobranchs
biomineral,NA,Banjo Rays (Trygonorrhinidae - 9 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Fanrays (Platyrhinidae - 5 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Fanrays (Platyrhinidae - 5 spp.),na,elasmobranchs
biomineral,NA,Fanrays (Platyrhinidae - 5 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Panrays (Zanobatidae - 2 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Panrays (Zanobatidae - 2 spp.),na,elasmobranchs
biomineral,NA,Panrays (Zanobatidae - 2 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Numbfishes (Narcinidae - 30 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Numbfishes (Narcinidae - 30 spp.),na,elasmobranchs
biomineral,NA,Numbfishes (Narcinidae - 30 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Sleeper Rays (Narkidae - 9 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Sleeper Rays (Narkidae - 9 spp.),na,elasmobranchs
biomineral,NA,Sleeper Rays (Narkidae - 9 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Hypnos monipterygius,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Hypnos monipterygius,na,elasmobranchs
biomineral,NA,Hypnos monipterygius,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Torpedo Rays (Torpedinidae - 18 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Torpedo Rays (Torpedinidae - 18 spp.),na,elasmobranchs
biomineral,NA,Torpedo Rays (Torpedinidae - 18 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands","Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",na,elasmobranchs
biomineral,NA,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",na,elasmobranchs
post-birth/hatching maternal dependence,NA,Dipturus spp. (38 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Dipturus spp. (38 spp.),na,elasmobranchs
biomineral,NA,Dipturus spp. (38 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Leucoraja spp. (13 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Leucoraja spp. (13 spp.),na,elasmobranchs
biomineral,NA,Leucoraja spp. (13 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Raja spp. (16 spp.),na,elasmobranchs
