iucn_sid,name,rank
9281,Carcharhinidae,family
9281,Glyphis,genus
9281,Glyphis gangeticus,species
9461,Metazoa,kingdom
9461,Chordata,phylum
9461,Mammalia,class
9461,Artiodactyla,order
9461,Delphinidae,family
9461,Grampus,genus
9461,Grampus griseus,species
9660,Metazoa,kingdom
9660,Chordata,phylum
9660,Mammalia,class
9660,Carnivora,order
9660,Phocidae,family
9660,Halichoerus,genus
9660,Halichoerus grypus,species
10030,Metazoa,kingdom
10030,Chordata,phylum
10030,Chondrichthyes,class
10030,Hexanchiformes,order
10030,Hexanchidae,family
10030,Hexanchus,genus
10030,Hexanchus griseus,species
10056,Metazoa,kingdom
10056,Chordata,phylum
10056,Actinopteri,class
10056,Syngnathiformes,order
10056,Syngnathidae,family
10056,Hippocampus,genus
10056,Hippocampus capensis,species
10057,Metazoa,kingdom
10057,Chordata,phylum
10057,Actinopteri,class
10057,Syngnathiformes,order
10057,Syngnathidae,family
10057,Hippocampus,genus
10057,Hippocampus abdominalis,species
10060,Metazoa,kingdom
10060,Chordata,phylum
10060,Actinopteri,class
10060,Syngnathiformes,order
10060,Syngnathidae,family
10060,Hippocampus,genus
10060,Hippocampus bargibanti,species
10063,Metazoa,kingdom
10063,Chordata,phylum
10063,Actinopteri,class
10063,Syngnathiformes,order
10063,Syngnathidae,family
10063,Hippocampus,genus
10063,Hippocampus breviceps,species
10064,Metazoa,kingdom
10064,Chordata,phylum
10064,Actinopteri,class
10064,Syngnathiformes,order
10064,Syngnathidae,family
10064,Hippocampus,genus
10064,Hippocampus camelopardalis,species
10065,Metazoa,kingdom
10065,Chordata,phylum
10065,Actinopteri,class
10065,Syngnathiformes,order
10065,Syngnathidae,family
10065,Hippocampus,genus
10065,Hippocampus coronatus,species
10066,Metazoa,kingdom
10066,Chordata,phylum
10066,Actinopteri,class
10066,Syngnathiformes,order
10066,Syngnathidae,family
10066,Hippocampus,genus
10066,Hippocampus erectus,species
10069,Metazoa,kingdom
10069,Chordata,phylum
10069,Actinopteri,class
10069,Syngnathiformes,order
10069,Syngnathidae,family
10069,Hippocampus,genus
10069,Hippocampus hippocampus,species
10070,Metazoa,kingdom
10070,Chordata,phylum
10070,Actinopteri,class
10070,Syngnathiformes,order
10070,Syngnathidae,family
10070,Hippocampus,genus
10070,Hippocampus histrix,species
10072,Metazoa,kingdom
10072,Chordata,phylum
10072,Actinopteri,class
10072,Syngnathiformes,order
10072,Syngnathidae,family
10072,Hippocampus,genus
10072,Hippocampus ingens,species
10074,Metazoa,kingdom
10074,Chordata,phylum
10074,Actinopteri,class
10074,Syngnathiformes,order
10074,Syngnathidae,family
10074,Hippocampus,genus
10074,Hippocampus jayakari,species
10075,Metazoa,kingdom
10075,Chordata,phylum
10075,Actinopteri,class
10075,Syngnathiformes,order
10075,Syngnathidae,family
10075,Hippocampus,genus
10075,Hippocampus kuda,species
10082,Metazoa,kingdom
10082,Chordata,phylum
10082,Actinopteri,class
10082,Syngnathiformes,order
10082,Syngnathidae,family
10082,Hippocampus,genus
10082,Hippocampus reidi,species
10083,Metazoa,kingdom
10083,Chordata,phylum
10083,Actinopteri,class
10083,Syngnathiformes,order
10083,Syngnathidae,family
10083,Hippocampus,genus
10083,Hippocampus sindonis,species
10087,Metazoa,kingdom
10087,Chordata,phylum
10087,Actinopteri,class
10087,Syngnathiformes,order
10087,Syngnathidae,family
10087,Hippocampus,genus
10087,Hippocampus trimaculatus,species
10088,Metazoa,kingdom
10088,Chordata,phylum
10088,Actinopteri,class
10088,Syngnathiformes,order
10088,Syngnathidae,family
10088,Hippocampus,genus
10088,Hippocampus whitei,species
10089,Metazoa,kingdom
10089,Chordata,phylum
10089,Actinopteri,class
10089,Syngnathiformes,order
10089,Syngnathidae,family
10089,Hippocampus,genus
10089,Hippocampus zosterae,species
10268,Metazoa,kingdom
10268,Chordata,phylum
10268,Actinopteri,class
10268,Acipenseriformes,order
10268,Acipenseridae,family
10268,Huso,genus
10268,Huso dauricus,species
10269,Metazoa,kingdom
10269,Chordata,phylum
10269,Actinopteri,class
10269,Acipenseriformes,order
10269,Acipenseridae,family
10269,Huso,genus
10269,Huso huso,species
10273,Metazoa,kingdom
10273,Chordata,phylum
10273,Actinopteri,class
10273,Acipenseriformes,order
10273,Acipenseridae,family
10273,Huso,genus
10273,Huso huso,species
10303,Metazoa,kingdom
10303,Chordata,phylum
10303,Mammalia,class
10303,Sirenia,order
10303,Dugongidae,family
10303,Hydrodamalis,genus
10303,Hydrodamalis gigas,species
10340,Metazoa,kingdom
10340,Chordata,phylum
10340,Mammalia,class
10340,Carnivora,order
10340,Phocidae,family
10340,Hydrurga,genus
10340,Hydrurga leptonyx,species
10707,Metazoa,kingdom
10707,Chordata,phylum
10707,Mammalia,class
10707,Artiodactyla,order
10707,Ziphiidae,family
10707,Hyperoodon,genus
10707,Hyperoodon ampullatus,species
10708,Metazoa,kingdom
10708,Chordata,phylum
10708,Mammalia,class
10708,Artiodactyla,order
10708,Ziphiidae,family
10708,Hyperoodon,genus
10708,Hyperoodon planifrons,species
11047,Metazoa,kingdom
11047,Chordata,phylum
11047,Mammalia,class
11047,Artiodactyla,order
11047,Physeteridae,family
11047,Kogia,genus
11047,Kogia breviceps,species
11048,Metazoa,kingdom
11048,Chordata,phylum
11048,Mammalia,class
11048,Artiodactyla,order
11048,Physeteridae,family
11048,Kogia,genus
11048,Kogia sima,species
11130,Metazoa,kingdom
11130,Chordata,phylum
11130,Actinopteri,class
11130,Labriformes,order
11130,Labridae,family
11130,Lachnolaimus,genus
11130,Lachnolaimus maximus,species
11140,Metazoa,kingdom
11140,Chordata,phylum
11140,Mammalia,class
11140,Artiodactyla,order
11140,Delphinidae,family
11140,Lagenodelphis,genus
11140,Lagenodelphis hosei,species
11141,Metazoa,kingdom
11141,Chordata,phylum
11141,Mammalia,class
11141,Artiodactyla,order
11141,Delphinidae,family
11141,Lagenorhynchus,genus
11141,Lagenorhynchus acutus,species
11142,Metazoa,kingdom
11142,Chordata,phylum
11142,Mammalia,class
11142,Artiodactyla,order
11142,Delphinidae,family
11142,Lagenorhynchus,genus
11142,Lagenorhynchus albirostris,species
11143,Metazoa,kingdom
11143,Chordata,phylum
11143,Mammalia,class
11143,Artiodactyla,order
11143,Delphinidae,family
11143,Lagenorhynchus,genus
11143,Lagenorhynchus australis,species
11144,Metazoa,kingdom
11144,Chordata,phylum
11144,Mammalia,class
11144,Artiodactyla,order
11144,Delphinidae,family
11144,Lagenorhynchus,genus
11144,Lagenorhynchus cruciger,species
11145,Metazoa,kingdom
11145,Chordata,phylum
11145,Mammalia,class
11145,Artiodactyla,order
11145,Delphinidae,family
11145,Lagenorhynchus,genus
11145,Lagenorhynchus obliquidens,species
11146,Metazoa,kingdom
11146,Chordata,phylum
11146,Mammalia,class
11146,Artiodactyla,order
11146,Delphinidae,family
11146,Lagenorhynchus,genus
11146,Lagenorhynchus obscurus,species
11150,Metazoa,kingdom
11150,Chordata,phylum
11150,Actinopteri,class
11150,Tetraodontiformes,order
11150,Tetraodontidae,family
11150,Lagocephalus,genus
11150,Lagocephalus gloveri,species
11200,Metazoa,kingdom
11200,Chordata,phylum
11200,Chondrichthyes,class
11200,Lamniformes,order
11200,Alopiidae,family
11200,Lamna,genus
11200,Lamna nasus,species
11533,Metazoa,kingdom
11533,Chordata,phylum
11533,Testudines,order
11533,Cheloniidae,family
11533,Lepidochelys,genus
11533,Lepidochelys kempii,species
11534,Metazoa,kingdom
11534,Chordata,phylum
11534,Testudines,order
11534,Cheloniidae,family
11534,Lepidochelys,genus
11534,Lepidochelys olivacea,species
11696,Metazoa,kingdom
11696,Chordata,phylum
11696,Mammalia,class
11696,Carnivora,order
11696,Phocidae,family
11696,Leptonychotes,genus
11696,Leptonychotes weddellii,species
12125,Metazoa,kingdom
12125,Chordata,phylum
12125,Mammalia,class
12125,Artiodactyla,order
12125,Delphinidae,family
12125,Lissodelphis,genus
12125,Lissodelphis borealis,species
12126,Metazoa,kingdom
12126,Chordata,phylum
12126,Mammalia,class
12126,Artiodactyla,order
12126,Delphinidae,family
12126,Lissodelphis,genus
12126,Lissodelphis peronii,species
12137,Metazoa,kingdom
12137,Chordata,phylum
12137,Actinopteri,class
12137,Spariformes,order
12137,Sparidae,family
12137,Lithognathus,genus
12137,Lithognathus lithognathus,species
12246,Metazoa,kingdom
12246,Chordata,phylum
12246,Mammalia,class
12246,Carnivora,order
12246,Phocidae,family
12246,Lobodon,genus
12246,Lobodon carcinophaga,species
12302,Metazoa,kingdom
12302,Chordata,phylum
12302,Mammalia,class
12302,Carnivora,order
12302,Mustelidae,family
12302,Lontra,genus
12302,Lontra canadensis,species
12303,Metazoa,kingdom
12303,Chordata,phylum
12303,Mammalia,class
12303,Carnivora,order
12303,Mustelidae,family
12303,Lontra,genus
12303,Lontra felina,species
12305,Metazoa,kingdom
12305,Chordata,phylum
12305,Mammalia,class
12305,Carnivora,order
12305,Mustelidae,family
12305,Lontra,genus
12305,Lontra provocax,species
12419,Metazoa,kingdom
12419,Chordata,phylum
12419,Mammalia,class
12419,Carnivora,order
12419,Mustelidae,family
12419,Lutra,genus
12419,Lutra lutra,species
12421,Metazoa,kingdom
12421,Chordata,phylum
12421,Mammalia,class
12421,Carnivora,order
12421,Mustelidae,family
12421,Lutra,genus
12421,Lutra sumatrana,species
12427,Metazoa,kingdom
12427,Chordata,phylum
12427,Mammalia,class
12427,Carnivora,order
12427,Mustelidae,family
12427,Lutrogale,genus
12427,Lutrogale perspicillata,species
13006,Metazoa,kingdom
13006,Chordata,phylum
13006,Mammalia,class
13006,Artiodactyla,order
13006,Balaenopteridae,family
13006,Megaptera,genus
13006,Megaptera novaeangliae,species
13241,Metazoa,kingdom
13241,Chordata,phylum
13241,Mammalia,class
13241,Artiodactyla,order
13241,Ziphiidae,family
13241,Mesoplodon,genus
13241,Mesoplodon bidens,species
13242,Metazoa,kingdom
13242,Chordata,phylum
13242,Mammalia,class
13242,Artiodactyla,order
13242,Ziphiidae,family
13242,Mesoplodon,genus
13242,Mesoplodon bowdoini,species
13243,Metazoa,kingdom
13243,Chordata,phylum
13243,Mammalia,class
13243,Artiodactyla,order
13243,Ziphiidae,family
13243,Mesoplodon,genus
13243,Mesoplodon carlhubbsi,species
13244,Metazoa,kingdom
13244,Chordata,phylum
13244,Mammalia,class
13244,Artiodactyla,order
13244,Ziphiidae,family
13244,Mesoplodon,genus
13244,Mesoplodon densirostris,species
13245,Metazoa,kingdom
13245,Chordata,phylum
13245,Mammalia,class
13245,Artiodactyla,order
13245,Ziphiidae,family
13245,Mesoplodon,genus
13245,Mesoplodon europaeus,species
13246,Metazoa,kingdom
13246,Chordata,phylum
13246,Mammalia,class
13246,Artiodactyla,order
13246,Ziphiidae,family
13246,Mesoplodon,genus
13246,Mesoplodon ginkgodens,species
13247,Metazoa,kingdom
13247,Chordata,phylum
13247,Mammalia,class
13247,Artiodactyla,order
13247,Ziphiidae,family
13247,Mesoplodon,genus
13247,Mesoplodon grayi,species
13248,Metazoa,kingdom
13248,Chordata,phylum
13248,Mammalia,class
13248,Artiodactyla,order
13248,Ziphiidae,family
13248,Mesoplodon,genus
13248,Mesoplodon hectori,species
13249,Metazoa,kingdom
13249,Chordata,phylum
13249,Mammalia,class
13249,Artiodactyla,order
13249,Ziphiidae,family
13249,Mesoplodon,genus
13249,Mesoplodon layardii,species
13250,Metazoa,kingdom
13250,Chordata,phylum
13250,Mammalia,class
13250,Artiodactyla,order
13250,Ziphiidae,family
13250,Mesoplodon,genus
13250,Mesoplodon mirus,species
13251,Metazoa,kingdom
13251,Chordata,phylum
13251,Mammalia,class
13251,Artiodactyla,order
13251,Ziphiidae,family
13251,Mesoplodon,genus
13251,Mesoplodon peruvianus,species
13252,Metazoa,kingdom
13252,Chordata,phylum
13252,Mammalia,class
13252,Artiodactyla,order
13252,Ziphiidae,family
13252,Mesoplodon,genus
13252,Mesoplodon stejnegeri,species
13581,Metazoa,kingdom
13581,Chordata,phylum
13581,Mammalia,class
13581,Carnivora,order
13581,Phocidae,family
13581,Mirounga,genus
13581,Mirounga angustirostris,species
13583,Metazoa,kingdom
