am_sid,name,rank
URM-Cn-5845,Scleractinia,order
URM-Cn-5845,Lobophylliidae,family
URM-Cn-5845,Homophyllia,genus
URM-Cn-5845,Homophyllia bowerbanki,species
URM-Cn-5846,Metazoa,kingdom
URM-Cn-5846,Cnidaria,phylum
URM-Cn-5846,Anthozoa,class
URM-Cn-5846,Scleractinia,order
URM-Cn-5846,Lobophylliidae,family
URM-Cn-5846,Acanthastrea,genus
URM-Cn-5846,Acanthastrea echinata,species
URM-Cn-5847,Metazoa,kingdom
URM-Cn-5847,Cnidaria,phylum
URM-Cn-5847,Anthozoa,class
URM-Cn-5847,Scleractinia,order
URM-Cn-5847,Merulinidae,family
URM-Cn-5847,Dipsastraea,genus
URM-Cn-5847,Dipsastraea faviaformis,species
SLB-62723,Metazoa,kingdom
SLB-62723,Cnidaria,phylum
SLB-62723,Anthozoa,class
SLB-62723,Scleractinia,order
SLB-62723,Lobophylliidae,family
SLB-62723,Acanthastrea,genus
SLB-62723,Acanthastrea hemprichii,species
URM-Cn-5849,Metazoa,kingdom
URM-Cn-5849,Cnidaria,phylum
URM-Cn-5849,Anthozoa,class
URM-Cn-5849,Scleractinia,order
URM-Cn-5849,Lobophylliidae,family
URM-Cn-5849,Homophyllia,genus
URM-Cn-5849,Homophyllia bowerbanki,species
URM-Cn-5850,Metazoa,kingdom
URM-Cn-5850,Cnidaria,phylum
URM-Cn-5850,Anthozoa,class
URM-Cn-5850,Scleractinia,order
URM-Cn-5850,Lobophylliidae,family
URM-Cn-5850,Lobophyllia,genus
URM-Cn-5850,Lobophyllia ishigakiensis,species
URM-Cn-5851,Metazoa,kingdom
URM-Cn-5851,Cnidaria,phylum
URM-Cn-5851,Anthozoa,class
URM-Cn-5851,Scleractinia,order
URM-Cn-5851,Lobophylliidae,family
URM-Cn-5851,Micromussa,genus
URM-Cn-5851,Micromussa lordhowensis,species
URM-Cn-5852,Metazoa,kingdom
URM-Cn-5852,Cnidaria,phylum
URM-Cn-5852,Anthozoa,class
URM-Cn-5852,Scleractinia,order
URM-Cn-5852,Lobophylliidae,family
URM-Cn-5852,Sclerophyllia,genus
URM-Cn-5852,Sclerophyllia maxima,species
SLB-62731,Metazoa,kingdom
SLB-62731,Cnidaria,phylum
SLB-62731,Anthozoa,class
SLB-62731,Scleractinia,order
SLB-62731,Lobophylliidae,family
SLB-62731,Acanthastrea,genus
SLB-62731,Acanthastrea rotundaflora,species
SLB-62732,Metazoa,kingdom
SLB-62732,Cnidaria,phylum
SLB-62732,Anthozoa,class
SLB-62732,Scleractinia,order
SLB-62732,Lobophylliidae,family
SLB-62732,Acanthastrea,genus
SLB-62732,Acanthastrea subechinata,species
W-Por-165651,Metazoa,kingdom
W-Por-165651,Porifera,phylum
W-Por-165651,Demospongiae,class
W-Por-165651,Axinellida,order
W-Por-165651,Axinellidae,family
W-Por-165651,Acanthella,genus
W-Por-165651,Acanthella cavernosa,species
Fis-24397,Metazoa,kingdom
Fis-24397,Chordata,phylum
Fis-24397,Actinopteri,class
Fis-24397,Blenniiformes,order
Fis-24397,Chaenopsidae,family
Fis-24397,Acanthemblemaria,genus
Fis-24397,Acanthemblemaria aspera,species
Fis-113559,Metazoa,kingdom
Fis-113559,Chordata,phylum
Fis-113559,Actinopteri,class
Fis-113559,Blenniiformes,order
Fis-113559,Chaenopsidae,family
Fis-113559,Acanthemblemaria,genus
Fis-113559,Acanthemblemaria balanorum,species
Fis-58221,Metazoa,kingdom
Fis-58221,Chordata,phylum
Fis-58221,Actinopteri,class
Fis-58221,Blenniiformes,order
Fis-58221,Chaenopsidae,family
Fis-58221,Acanthemblemaria,genus
Fis-58221,Acanthemblemaria castroi,species
Fis-29577,Metazoa,kingdom
Fis-29577,Chordata,phylum
Fis-29577,Actinopteri,class
Fis-29577,Blenniiformes,order
Fis-29577,Chaenopsidae,family
Fis-29577,Acanthemblemaria,genus
Fis-29577,Acanthemblemaria chaplini,species
Fis-113560,Metazoa,kingdom
Fis-113560,Chordata,phylum
Fis-113560,Actinopteri,class
Fis-113560,Blenniiformes,order
Fis-113560,Chaenopsidae,family
Fis-113560,Acanthemblemaria,genus
Fis-113560,Acanthemblemaria crockeri,species
Fis-113577,Metazoa,kingdom
Fis-113577,Chordata,phylum
Fis-113577,Actinopteri,class
Fis-113577,Blenniiformes,order
Fis-113577,Chaenopsidae,family
Fis-113577,Acanthemblemaria,genus
Fis-113577,Acanthemblemaria exilispinus,species
Fis-113583,Metazoa,kingdom
Fis-113583,Chordata,phylum
Fis-113583,Actinopteri,class
Fis-113583,Blenniiformes,order
Fis-113583,Chaenopsidae,family
Fis-113583,Acanthemblemaria,genus
Fis-113583,Acanthemblemaria hancocki,species
Fis-113588,Metazoa,kingdom
Fis-113588,Chordata,phylum
Fis-113588,Actinopteri,class
Fis-113588,Blenniiformes,order
Fis-113588,Chaenopsidae,family
Fis-113588,Acanthemblemaria,genus
Fis-113588,Acanthemblemaria macrospilus,species
Fis-49730,Metazoa,kingdom
Fis-49730,Chordata,phylum
Fis-49730,Actinopteri,class
Fis-49730,Blenniiformes,order
Fis-49730,Chaenopsidae,family
Fis-49730,Acanthemblemaria,genus
Fis-49730,Acanthemblemaria maria,species
Fis-49731,Metazoa,kingdom
Fis-49731,Chordata,phylum
Fis-49731,Actinopteri,class
Fis-49731,Blenniiformes,order
Fis-49731,Chaenopsidae,family
Fis-49731,Acanthemblemaria,genus
Fis-49731,Acanthemblemaria spinosa,species
ITS-96119,Metazoa,kingdom
ITS-96119,Arthropoda,phylum
ITS-96119,Malacostraca,class
ITS-96119,Decapoda,order
ITS-96119,Oplophoridae,family
ITS-96119,Acanthephyra,genus
ITS-96119,Acanthephyra acutifrons,species
ITS-96118,Metazoa,kingdom
ITS-96118,Arthropoda,phylum
ITS-96118,Malacostraca,class
ITS-96118,Decapoda,order
ITS-96118,Oplophoridae,family
ITS-96118,Acanthephyra,genus
ITS-96118,Acanthephyra armata,species
ITS-96116,Metazoa,kingdom
ITS-96116,Arthropoda,phylum
ITS-96116,Malacostraca,class
ITS-96116,Decapoda,order
ITS-96116,Oplophoridae,family
ITS-96116,Acanthephyra,genus
ITS-96116,Acanthephyra brevirostris,species
SLB-157697,Metazoa,kingdom
SLB-157697,Arthropoda,phylum
SLB-157697,Malacostraca,class
SLB-157697,Decapoda,order
SLB-157697,Oplophoridae,family
SLB-157697,Acanthephyra,genus
SLB-157697,Acanthephyra carinata,species
SLB-186085,Metazoa,kingdom
SLB-186085,Arthropoda,phylum
SLB-186085,Malacostraca,class
SLB-186085,Decapoda,order
SLB-186085,Oplophoridae,family
SLB-186085,Acanthephyra,genus
SLB-186085,Acanthephyra cucullata,species
ITS-96117,Metazoa,kingdom
ITS-96117,Arthropoda,phylum
ITS-96117,Malacostraca,class
ITS-96117,Decapoda,order
ITS-96117,Oplophoridae,family
ITS-96117,Acanthephyra,genus
ITS-96117,Acanthephyra curtirostris,species
ITS-96120,Metazoa,kingdom
ITS-96120,Arthropoda,phylum
ITS-96120,Malacostraca,class
ITS-96120,Decapoda,order
ITS-96120,Oplophoridae,family
ITS-96120,Acanthephyra,genus
ITS-96120,Acanthephyra eximia,species
ITS-96115,Metazoa,kingdom
ITS-96115,Arthropoda,phylum
ITS-96115,Malacostraca,class
ITS-96115,Decapoda,order
ITS-96115,Oplophoridae,family
ITS-96115,Acanthephyra,genus
ITS-96115,Acanthephyra pelagica,species
ITS-96114,Metazoa,kingdom
ITS-96114,Arthropoda,phylum
ITS-96114,Malacostraca,class
ITS-96114,Decapoda,order
ITS-96114,Oplophoridae,family
ITS-96114,Acanthephyra,genus
ITS-96114,Acanthephyra purpurea,species
ITS-659848,Metazoa,kingdom
ITS-659848,Arthropoda,phylum
ITS-659848,Malacostraca,class
ITS-659848,Decapoda,order
ITS-659848,Oplophoridae,family
ITS-659848,Acanthephyra,genus
ITS-659848,Acanthephyra quadrispinosa,species
SLB-118969,Metazoa,kingdom
SLB-118969,Arthropoda,phylum
SLB-118969,Malacostraca,class
SLB-118969,Decapoda,order
SLB-118969,Oplophoridae,family
SLB-118969,Acanthephyra,genus
SLB-118969,Acanthephyra smithi,species
ITS-96121,Metazoa,kingdom
ITS-96121,Arthropoda,phylum
ITS-96121,Malacostraca,class
ITS-96121,Decapoda,order
ITS-96121,Oplophoridae,family
ITS-96121,Acanthephyra,genus
ITS-96121,Acanthephyra stylorostratis,species
W-Msc-377982,Metazoa,kingdom
W-Msc-377982,Mollusca,phylum
W-Msc-377982,Gastropoda,class
W-Msc-377982,Neogastropoda,order
W-Msc-377982,Muricidae,family
W-Msc-377982,Acanthina,genus
W-Msc-377982,Acanthina monodon,species
Fis-22840,Metazoa,kingdom
Fis-22840,Chordata,phylum
Fis-22840,Actinopteri,class
Fis-22840,Perciformes,order
Fis-22840,Serranidae,family
Fis-22840,Acanthistius,genus
Fis-22840,Acanthistius brasilianus,species
Fis-163637,Metazoa,kingdom
Fis-163637,Chordata,phylum
Fis-163637,Actinopteri,class
Fis-163637,Perciformes,order
Fis-163637,Serranidae,family
Fis-163637,Acanthistius,genus
Fis-163637,Acanthistius joanae,species
Fis-29237,Metazoa,kingdom
Fis-29237,Chordata,phylum
Fis-29237,Actinopteri,class
Fis-29237,Perciformes,order
Fis-29237,Serranidae,family
Fis-29237,Acanthistius,genus
Fis-29237,Acanthistius ocellatus,species
Fis-29238,Metazoa,kingdom
Fis-29238,Chordata,phylum
Fis-29238,Actinopteri,class
Fis-29238,Perciformes,order
Fis-29238,Serranidae,family
Fis-29238,Acanthistius,genus
Fis-29238,Acanthistius serratus,species
W-Msc-138990,Metazoa,kingdom
W-Msc-138990,Mollusca,phylum
W-Msc-138990,Bivalvia,class
W-Msc-138990,Veneroida,order
W-Msc-138990,Cardiidae,family
W-Msc-138990,Acanthocardia,genus
W-Msc-138990,Acanthocardia aculeata,species
W-Msc-138992,Metazoa,kingdom
W-Msc-138992,Mollusca,phylum
W-Msc-138992,Bivalvia,class
W-Msc-138992,Veneroida,order
W-Msc-138992,Cardiidae,family
W-Msc-138992,Acanthocardia,genus
W-Msc-138992,Acanthocardia echinata,species
W-Msc-138993,Metazoa,kingdom
W-Msc-138993,Mollusca,phylum
W-Msc-138993,Bivalvia,class
W-Msc-138993,Veneroida,order
W-Msc-138993,Cardiidae,family
W-Msc-138993,Acanthocardia,genus
W-Msc-138993,Acanthocardia paucicostata,species
W-Msc-381057,Metazoa,kingdom
W-Msc-381057,Mollusca,phylum
W-Msc-381057,Bivalvia,class
W-Msc-381057,Veneroida,order
W-Msc-381057,Cardiidae,family
W-Msc-381057,Acanthocardia,genus
W-Msc-381057,Acanthocardia tuberculata,species
