rank,name,id,species,db
kingdom,metazoa,33208,chimaera lignaria,ncbi
phylum,chordata,7711,chimaera lignaria,ncbi
class,chondrichthyes,7777,chimaera lignaria,ncbi
subclass,holocephali,7863,chimaera lignaria,ncbi
order,chimaeriformes,7864,chimaera lignaria,ncbi
family,chimaeridae,7869,chimaera lignaria,ncbi
genus,chimaera,7870,chimaera lignaria,ncbi
species,chimaera lignaria,495841,chimaera lignaria,ncbi
kingdom,metazoa,33208,chimaera opalescens,ncbi
phylum,chordata,7711,chimaera opalescens,ncbi
class,chondrichthyes,7777,chimaera opalescens,ncbi
subclass,holocephali,7863,chimaera opalescens,ncbi
order,chimaeriformes,7864,chimaera opalescens,ncbi
family,chimaeridae,7869,chimaera opalescens,ncbi
genus,chimaera,7870,chimaera opalescens,ncbi
species,chimaera opalescens,469896,chimaera opalescens,ncbi
kingdom,metazoa,33208,chimaera phantasma,ncbi
phylum,chordata,7711,chimaera phantasma,ncbi
class,chondrichthyes,7777,chimaera phantasma,ncbi
subclass,holocephali,7863,chimaera phantasma,ncbi
order,chimaeriformes,7864,chimaera phantasma,ncbi
family,chimaeridae,7869,chimaera phantasma,ncbi
genus,chimaera,7870,chimaera phantasma,ncbi
species,chimaera phantasma,134990,chimaera phantasma,ncbi
kingdom,metazoa,33208,chimaera monstrosa,ncbi
phylum,chordata,7711,chimaera monstrosa,ncbi
class,chondrichthyes,7777,chimaera monstrosa,ncbi
subclass,holocephali,7863,chimaera monstrosa,ncbi
order,chimaeriformes,7864,chimaera monstrosa,ncbi
family,chimaeridae,7869,chimaera monstrosa,ncbi
genus,chimaera,7870,chimaera monstrosa,ncbi
species,chimaera monstrosa,7871,chimaera monstrosa,ncbi
kingdom,metazoa,33208,callorhinchus capensis,ncbi
phylum,chordata,7711,callorhinchus capensis,ncbi
class,chondrichthyes,7777,callorhinchus capensis,ncbi
subclass,holocephali,7863,callorhinchus capensis,ncbi
order,chimaeriformes,7864,callorhinchus capensis,ncbi
family,callorhinchidae,7865,callorhinchus capensis,ncbi
genus,callorhinchus,7866,callorhinchus capensis,ncbi
species,callorhinchus capensis,765184,callorhinchus capensis,ncbi
kingdom,metazoa,33208,callorhinchus milii,ncbi
phylum,chordata,7711,callorhinchus milii,ncbi
class,chondrichthyes,7777,callorhinchus milii,ncbi
subclass,holocephali,7863,callorhinchus milii,ncbi
order,chimaeriformes,7864,callorhinchus milii,ncbi
family,callorhinchidae,7865,callorhinchus milii,ncbi
genus,callorhinchus,7866,callorhinchus milii,ncbi
species,callorhinchus milii,7868,callorhinchus milii,ncbi
kingdom,metazoa,33208,callorhinchus callorynchus,ncbi
phylum,chordata,7711,callorhinchus callorynchus,ncbi
class,chondrichthyes,7777,callorhinchus callorynchus,ncbi
subclass,holocephali,7863,callorhinchus callorynchus,ncbi
order,chimaeriformes,7864,callorhinchus callorynchus,ncbi
family,callorhinchidae,7865,callorhinchus callorynchus,ncbi
genus,callorhinchus,7866,callorhinchus callorynchus,ncbi
species,callorhinchus callorynchus,7867,callorhinchus callorynchus,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,heterodontoidea,119196,galeomorphii,ncbi
order,heterodontiformes,40667,galeomorphii,ncbi
family,heterodontidae,7790,galeomorphii,ncbi
genus,heterodontus,7791,galeomorphii,ncbi
species,heterodontus cf. zebra gjpn-2012,1214696,galeomorphii,ncbi
NA,selachii,119203,galeomorphii,ncbi
NA,galeomorphii,119197,galeomorphii,ncbi
kingdom,metazoa,33208,galeomorphii,ncbi
phylum,chordata,7711,galeomorphii,ncbi
class,chondrichthyes,7777,galeomorphii,ncbi
subclass,elasmobranchii,7778,galeomorphii,ncbi
superorder,heterodontoidea,119196,galeomorphii,ncbi
order,heterodontiformes,40667,galeomorphii,ncbi
family,heterodontidae,7790,galeomorphii,ncbi
